source,target,weight
"Wang, Min","Yue, Yuan",1
"Kehrl, John H.","Yue, Yuan",1
"Nabar, Neel R.","Shi, Chong-Shan",1
"Kamenyeva, Olena","Nabar, Neel R.",1
"Nabar, Neel R.","Xiao, Xun",1
"Hwang, Il-Young","Nabar, Neel R.",1
"Nabar, Neel R.","Wang, Min",1
"Kehrl, John H.","Nabar, Neel R.",1
"Kamenyeva, Olena","Shi, Chong-Shan",1
"Shi, Chong-Shan","Xiao, Xun",1
"Hwang, Il-Young","Shi, Chong-Shan",1
"Shi, Chong-Shan","Wang, Min",1
"Kehrl, John H.","Shi, Chong-Shan",2
"Kamenyeva, Olena","Xiao, Xun",1
"Hwang, Il-Young","Kamenyeva, Olena",1
"Kamenyeva, Olena","Wang, Min",1
"Kamenyeva, Olena","Kehrl, John H.",1
"Hwang, Il-Young","Xiao, Xun",1
"Wang, Min","Xiao, Xun",1
"Kehrl, John H.","Xiao, Xun",1
"Hwang, Il-Young","Wang, Min",1
"Hwang, Il-Young","Kehrl, John H.",1
"Kehrl, John H.","Wang, Min",1
"Chen, Ze","Liu, Chang",1
"Hu, Yue","Liu, Chang",1
"Ji, Haishuo","Liu, Chang",1
"Liu, Chang","Yu, Deshui",1
"Liu, Chang","Shen, Wenyuan",1
"Li, Siyu","Liu, Chang",1
"Liu, Chang","Ruan, Jishou",1
"Bu, Wenjun","Liu, Chang",1
"Gao, Shan","Liu, Chang",1
"Chen, Ze","Hu, Yue",1
"Chen, Ze","Ji, Haishuo",1
"Chen, Ze","Yu, Deshui",1
"Chen, Ze","Shen, Wenyuan",1
"Chen, Ze","Li, Siyu",1
"Chen, Ze","Ruan, Jishou",1
"Bu, Wenjun","Chen, Ze",1
"Chen, Ze","Gao, Shan",1
"Hu, Yue","Ji, Haishuo",1
"Hu, Yue","Yu, Deshui",1
"Hu, Yue","Shen, Wenyuan",1
"Hu, Yue","Li, Siyu",1
"Hu, Yue","Ruan, Jishou",1
"Bu, Wenjun","Hu, Yue",1
"Gao, Shan","Hu, Yue",1
"Ji, Haishuo","Yu, Deshui",1
"Ji, Haishuo","Shen, Wenyuan",1
"Ji, Haishuo","Li, Siyu",1
"Ji, Haishuo","Ruan, Jishou",1
"Bu, Wenjun","Ji, Haishuo",1
"Gao, Shan","Ji, Haishuo",1
"Shen, Wenyuan","Yu, Deshui",1
"Li, Siyu","Yu, Deshui",1
"Ruan, Jishou","Yu, Deshui",1
"Bu, Wenjun","Yu, Deshui",1
"Gao, Shan","Yu, Deshui",1
"Li, Siyu","Shen, Wenyuan",1
"Ruan, Jishou","Shen, Wenyuan",1
"Bu, Wenjun","Shen, Wenyuan",1
"Gao, Shan","Shen, Wenyuan",1
"Li, Siyu","Ruan, Jishou",1
"Bu, Wenjun","Li, Siyu",1
"Gao, Shan","Li, Siyu",1
"Bu, Wenjun","Ruan, Jishou",1
"Gao, Shan","Ruan, Jishou",1
"Bu, Wenjun","Gao, Shan",1
"MÃ¶sbauer, Kirstin","Niemeyer, Daniela",1
"Klein, Eva M.","Niemeyer, Daniela",1
"Niemeyer, Daniela","Sieberg, Andrea",1
"Mettelman, Robert C.","Niemeyer, Daniela",1
"Mielech, Anna M.","Niemeyer, Daniela",1
"Dijkman, Ronald","Niemeyer, Daniela",1
"Baker, Susan C.","Niemeyer, Daniela",1
"Drosten, Christian","Niemeyer, Daniela",1
"MÃ¼ller, Marcel A.","Niemeyer, Daniela",1
"Klein, Eva M.","MÃ¶sbauer, Kirstin",1
"MÃ¶sbauer, Kirstin","Sieberg, Andrea",1
"Mettelman, Robert C.","MÃ¶sbauer, Kirstin",1
"Mielech, Anna M.","MÃ¶sbauer, Kirstin",1
"Dijkman, Ronald","MÃ¶sbauer, Kirstin",1
"Baker, Susan C.","MÃ¶sbauer, Kirstin",1
"Drosten, Christian","MÃ¶sbauer, Kirstin",1
"MÃ¶sbauer, Kirstin","MÃ¼ller, Marcel A.",1
"Klein, Eva M.","Sieberg, Andrea",1
"Klein, Eva M.","Mettelman, Robert C.",1
"Klein, Eva M.","Mielech, Anna M.",1
"Dijkman, Ronald","Klein, Eva M.",1
"Baker, Susan C.","Klein, Eva M.",1
"Drosten, Christian","Klein, Eva M.",1
"Klein, Eva M.","MÃ¼ller, Marcel A.",1
"Mettelman, Robert C.","Sieberg, Andrea",1
"Mielech, Anna M.","Sieberg, Andrea",1
"Dijkman, Ronald","Sieberg, Andrea",1
"Baker, Susan C.","Sieberg, Andrea",1
"Drosten, Christian","Sieberg, Andrea",1
"MÃ¼ller, Marcel A.","Sieberg, Andrea",1
"Mettelman, Robert C.","Mielech, Anna M.",1
"Dijkman, Ronald","Mettelman, Robert C.",1
"Baker, Susan C.","Mettelman, Robert C.",1
"Drosten, Christian","Mettelman, Robert C.",1
"Mettelman, Robert C.","MÃ¼ller, Marcel A.",1
"Dijkman, Ronald","Mielech, Anna M.",1
"Baker, Susan C.","Mielech, Anna M.",2
"Drosten, Christian","Mielech, Anna M.",1
"Mielech, Anna M.","MÃ¼ller, Marcel A.",1
"Baker, Susan C.","Dijkman, Ronald",1
"Dijkman, Ronald","Drosten, Christian",2
"Dijkman, Ronald","MÃ¼ller, Marcel A.",1
"Baker, Susan C.","Drosten, Christian",1
"Baker, Susan C.","MÃ¼ller, Marcel A.",1
"Li, Shi-Yue","Wang, Ning",1
"Wang, Ning","Yang, Xing-Lou",3
"Huang, Hui-Min","Wang, Ning",1
"Wang, Ning","Zhang, Yu-Ji",2
"Guo, Hua","Wang, Ning",1
"Luo, Chu-Ming","Wang, Ning",2
"Miller, Maureen","Wang, Ning",1
"Wang, Ning","Zhu, Guangjian",2
"Chmura, Aleksei A.","Wang, Ning",2
"Hagan, Emily","Wang, Ning",1
"Wang, Ning","Zhou, Ji-Hua",1
"Wang, Ning","Zhang, Yun-Zhi",2
"Wang, Lin-Fa","Wang, Ning",3
"Daszak, Peter","Wang, Ning",3
"Shi, Zheng-Li","Wang, Ning",3
"Li, Shi-Yue","Yang, Xing-Lou",1
"Huang, Hui-Min","Li, Shi-Yue",1
"Li, Shi-Yue","Zhang, Yu-Ji",1
"Guo, Hua","Li, Shi-Yue",1
"Li, Shi-Yue","Luo, Chu-Ming",1
"Li, Shi-Yue","Miller, Maureen",1
"Li, Shi-Yue","Zhu, Guangjian",1
"Chmura, Aleksei A.","Li, Shi-Yue",1
"Hagan, Emily","Li, Shi-Yue",1
"Li, Shi-Yue","Zhou, Ji-Hua",1
"Li, Shi-Yue","Zhang, Yun-Zhi",1
"Li, Shi-Yue","Wang, Lin-Fa",1
"Daszak, Peter","Li, Shi-Yue",1
"Li, Shi-Yue","Shi, Zheng-Li",1
"Huang, Hui-Min","Yang, Xing-Lou",1
"Yang, Xing-Lou","Zhang, Yu-Ji",2
"Guo, Hua","Yang, Xing-Lou",1
"Luo, Chu-Ming","Yang, Xing-Lou",2
"Miller, Maureen","Yang, Xing-Lou",1
"Yang, Xing-Lou","Zhu, Guangjian",2
"Chmura, Aleksei A.","Yang, Xing-Lou",2
"Hagan, Emily","Yang, Xing-Lou",1
"Yang, Xing-Lou","Zhou, Ji-Hua",1
"Yang, Xing-Lou","Zhang, Yun-Zhi",3
"Wang, Lin-Fa","Yang, Xing-Lou",3
"Daszak, Peter","Yang, Xing-Lou",3
"Shi, Zheng-Li","Yang, Xing-Lou",4
"Huang, Hui-Min","Zhang, Yu-Ji",1
"Guo, Hua","Huang, Hui-Min",1
"Huang, Hui-Min","Luo, Chu-Ming",1
"Huang, Hui-Min","Miller, Maureen",1
"Huang, Hui-Min","Zhu, Guangjian",1
"Chmura, Aleksei A.","Huang, Hui-Min",1
"Hagan, Emily","Huang, Hui-Min",1
"Huang, Hui-Min","Zhou, Ji-Hua",1
"Huang, Hui-Min","Zhang, Yun-Zhi",1
"Huang, Hui-Min","Wang, Lin-Fa",1
"Daszak, Peter","Huang, Hui-Min",1
"Huang, Hui-Min","Shi, Zheng-Li",1
"Guo, Hua","Zhang, Yu-Ji",1
"Luo, Chu-Ming","Zhang, Yu-Ji",2
"Miller, Maureen","Zhang, Yu-Ji",1
"Zhang, Yu-Ji","Zhu, Guangjian",2
"Chmura, Aleksei A.","Zhang, Yu-Ji",2
"Hagan, Emily","Zhang, Yu-Ji",1
"Zhang, Yu-Ji","Zhou, Ji-Hua",1
"Zhang, Yu-Ji","Zhang, Yun-Zhi",1
"Wang, Lin-Fa","Zhang, Yu-Ji",2
"Daszak, Peter","Zhang, Yu-Ji",2
"Shi, Zheng-Li","Zhang, Yu-Ji",2
"Guo, Hua","Luo, Chu-Ming",1
"Guo, Hua","Miller, Maureen",1
"Guo, Hua","Zhu, Guangjian",1
"Chmura, Aleksei A.","Guo, Hua",1
"Guo, Hua","Hagan, Emily",1
"Guo, Hua","Zhou, Ji-Hua",1
"Guo, Hua","Zhang, Yun-Zhi",1
"Guo, Hua","Wang, Lin-Fa",1
"Daszak, Peter","Guo, Hua",1
"Guo, Hua","Shi, Zheng-Li",1
"Luo, Chu-Ming","Miller, Maureen",1
"Luo, Chu-Ming","Zhu, Guangjian",2
"Chmura, Aleksei A.","Luo, Chu-Ming",2
"Hagan, Emily","Luo, Chu-Ming",1
"Luo, Chu-Ming","Zhou, Ji-Hua",1
"Luo, Chu-Ming","Zhang, Yun-Zhi",1
"Luo, Chu-Ming","Wang, Lin-Fa",2
"Daszak, Peter","Luo, Chu-Ming",2
"Luo, Chu-Ming","Shi, Zheng-Li",2
"Miller, Maureen","Zhu, Guangjian",1
"Chmura, Aleksei A.","Miller, Maureen",1
"Hagan, Emily","Miller, Maureen",1
"Miller, Maureen","Zhou, Ji-Hua",1
"Miller, Maureen","Zhang, Yun-Zhi",1
"Miller, Maureen","Wang, Lin-Fa",1
"Daszak, Peter","Miller, Maureen",1
"Miller, Maureen","Shi, Zheng-Li",1
"Chmura, Aleksei A.","Zhu, Guangjian",2
"Hagan, Emily","Zhu, Guangjian",1
"Zhou, Ji-Hua","Zhu, Guangjian",1
"Zhang, Yun-Zhi","Zhu, Guangjian",1
"Wang, Lin-Fa","Zhu, Guangjian",2
"Daszak, Peter","Zhu, Guangjian",2
"Shi, Zheng-Li","Zhu, Guangjian",2
"Chmura, Aleksei A.","Hagan, Emily",1
"Chmura, Aleksei A.","Zhou, Ji-Hua",1
"Chmura, Aleksei A.","Zhang, Yun-Zhi",1
"Chmura, Aleksei A.","Wang, Lin-Fa",2
"Chmura, Aleksei A.","Daszak, Peter",2
"Chmura, Aleksei A.","Shi, Zheng-Li",2
"Hagan, Emily","Zhou, Ji-Hua",1
"Hagan, Emily","Zhang, Yun-Zhi",1
"Hagan, Emily","Wang, Lin-Fa",1
"Daszak, Peter","Hagan, Emily",1
"Hagan, Emily","Shi, Zheng-Li",1
"Zhang, Yun-Zhi","Zhou, Ji-Hua",1
"Wang, Lin-Fa","Zhou, Ji-Hua",1
"Daszak, Peter","Zhou, Ji-Hua",1
"Shi, Zheng-Li","Zhou, Ji-Hua",1
"Wang, Lin-Fa","Zhang, Yun-Zhi",2
"Daszak, Peter","Zhang, Yun-Zhi",2
"Shi, Zheng-Li","Zhang, Yun-Zhi",3
"Daszak, Peter","Wang, Lin-Fa",3
"Shi, Zheng-Li","Wang, Lin-Fa",3
"Daszak, Peter","Shi, Zheng-Li",3
"Liao, Fan-Lu","Luo, Fan",1
"Luo, Fan","Wang, Hui",1
"Luo, Fan","Tang, Hong-Bin",1
"Luo, Fan","Yang, Zhan-Qiu",1
"Hou, Wei","Luo, Fan",1
"Liao, Fan-Lu","Wang, Hui",1
"Liao, Fan-Lu","Tang, Hong-Bin",1
"Liao, Fan-Lu","Yang, Zhan-Qiu",1
"Hou, Wei","Liao, Fan-Lu",1
"Tang, Hong-Bin","Wang, Hui",1
"Wang, Hui","Yang, Zhan-Qiu",1
"Hou, Wei","Wang, Hui",1
"Tang, Hong-Bin","Yang, Zhan-Qiu",1
"Hou, Wei","Tang, Hong-Bin",1
"Hou, Wei","Yang, Zhan-Qiu",1
"Corman, Victor Max","Muth, Doreen",1
"Muth, Doreen","Roth, Hanna",1
"Dijkman, Ronald","Muth, Doreen",1
"Gottula, Lina Theresa","Muth, Doreen",1
"Gloza-Rausch, Florian","Muth, Doreen",1
"Balboni, Andrea","Muth, Doreen",1
"Battilani, Mara","Muth, Doreen",1
"Muth, Doreen","RihtariÄ, Danijela",1
"Muth, Doreen","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Muth, Doreen",1
"Muth, Doreen","Pfeifer, Alexander",1
"Muth, Doreen","Thiel, Volker",1
"Drexler, Jan Felix","Muth, Doreen",1
"Muth, Doreen","MÃ¼ller, Marcel Alexander",1
"Corman, Victor Max","Roth, Hanna",1
"Binger, Tabea","Corman, Victor Max",1
"Corman, Victor Max","Dijkman, Ronald",1
"Corman, Victor Max","Gottula, Lina Theresa",1
"Corman, Victor Max","Gloza-Rausch, Florian",1
"Balboni, Andrea","Corman, Victor Max",1
"Battilani, Mara","Corman, Victor Max",1
"Corman, Victor Max","RihtariÄ, Danijela",1
"Corman, Victor Max","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Corman, Victor Max",1
"Corman, Victor Max","Pfeifer, Alexander",1
"Corman, Victor Max","Thiel, Volker",1
"Corman, Victor Max","Drexler, Jan Felix",2
"Corman, Victor Max","MÃ¼ller, Marcel Alexander",1
"Corman, Victor Max","Drosten, Christian",2
"Binger, Tabea","Roth, Hanna",1
"Dijkman, Ronald","Roth, Hanna",1
"Gottula, Lina Theresa","Roth, Hanna",1
"Gloza-Rausch, Florian","Roth, Hanna",1
"Balboni, Andrea","Roth, Hanna",1
"Battilani, Mara","Roth, Hanna",1
"RihtariÄ, Danijela","Roth, Hanna",1
"Roth, Hanna","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Roth, Hanna",1
"Pfeifer, Alexander","Roth, Hanna",1
"Roth, Hanna","Thiel, Volker",1
"Drexler, Jan Felix","Roth, Hanna",1
"MÃ¼ller, Marcel Alexander","Roth, Hanna",1
"Drosten, Christian","Roth, Hanna",1
"Binger, Tabea","Dijkman, Ronald",1
"Binger, Tabea","Gottula, Lina Theresa",1
"Binger, Tabea","Gloza-Rausch, Florian",1
"Balboni, Andrea","Binger, Tabea",1
"Battilani, Mara","Binger, Tabea",1
"Binger, Tabea","RihtariÄ, Danijela",1
"Binger, Tabea","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Binger, Tabea",1
"Binger, Tabea","Pfeifer, Alexander",1
"Binger, Tabea","Thiel, Volker",1
"Binger, Tabea","Drexler, Jan Felix",1
"Binger, Tabea","MÃ¼ller, Marcel Alexander",1
"Dijkman, Ronald","Gottula, Lina Theresa",1
"Dijkman, Ronald","Gloza-Rausch, Florian",1
"Balboni, Andrea","Dijkman, Ronald",1
"Battilani, Mara","Dijkman, Ronald",1
"Dijkman, Ronald","RihtariÄ, Danijela",1
"Dijkman, Ronald","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Dijkman, Ronald",1
"Dijkman, Ronald","Pfeifer, Alexander",1
"Dijkman, Ronald","Drexler, Jan Felix",1
"Dijkman, Ronald","MÃ¼ller, Marcel Alexander",1
"Gloza-Rausch, Florian","Gottula, Lina Theresa",1
"Balboni, Andrea","Gottula, Lina Theresa",1
"Battilani, Mara","Gottula, Lina Theresa",1
"Gottula, Lina Theresa","RihtariÄ, Danijela",1
"Gottula, Lina Theresa","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Gottula, Lina Theresa",1
"Gottula, Lina Theresa","Pfeifer, Alexander",1
"Gottula, Lina Theresa","Thiel, Volker",1
"Drexler, Jan Felix","Gottula, Lina Theresa",1
"Gottula, Lina Theresa","MÃ¼ller, Marcel Alexander",1
"Drosten, Christian","Gottula, Lina Theresa",1
"Balboni, Andrea","Gloza-Rausch, Florian",1
"Battilani, Mara","Gloza-Rausch, Florian",1
"Gloza-Rausch, Florian","RihtariÄ, Danijela",1
"Gloza-Rausch, Florian","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Gloza-Rausch, Florian",1
"Gloza-Rausch, Florian","Pfeifer, Alexander",1
"Gloza-Rausch, Florian","Thiel, Volker",1
"Drexler, Jan Felix","Gloza-Rausch, Florian",1
"Gloza-Rausch, Florian","MÃ¼ller, Marcel Alexander",1
"Drosten, Christian","Gloza-Rausch, Florian",1
"Balboni, Andrea","Battilani, Mara",1
"Balboni, Andrea","RihtariÄ, Danijela",1
"Balboni, Andrea","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Balboni, Andrea",1
"Balboni, Andrea","Pfeifer, Alexander",1
"Balboni, Andrea","Thiel, Volker",1
"Balboni, Andrea","Drexler, Jan Felix",1
"Balboni, Andrea","MÃ¼ller, Marcel Alexander",1
"Balboni, Andrea","Drosten, Christian",1
"Battilani, Mara","RihtariÄ, Danijela",1
"Battilani, Mara","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Battilani, Mara",1
"Battilani, Mara","Pfeifer, Alexander",1
"Battilani, Mara","Thiel, Volker",1
"Battilani, Mara","Drexler, Jan Felix",1
"Battilani, Mara","MÃ¼ller, Marcel Alexander",1
"Battilani, Mara","Drosten, Christian",1
"RihtariÄ, Danijela","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","RihtariÄ, Danijela",1
"Pfeifer, Alexander","RihtariÄ, Danijela",1
"RihtariÄ, Danijela","Thiel, Volker",1
"Drexler, Jan Felix","RihtariÄ, Danijela",1
"MÃ¼ller, Marcel Alexander","RihtariÄ, Danijela",1
"Drosten, Christian","RihtariÄ, Danijela",1
"Ameneiros, RamÃ³n Seage","Toplak, Ivan",1
"Pfeifer, Alexander","Toplak, Ivan",1
"Thiel, Volker","Toplak, Ivan",1
"Drexler, Jan Felix","Toplak, Ivan",1
"MÃ¼ller, Marcel Alexander","Toplak, Ivan",1
"Drosten, Christian","Toplak, Ivan",1
"Ameneiros, RamÃ³n Seage","Pfeifer, Alexander",1
"Ameneiros, RamÃ³n Seage","Thiel, Volker",1
"Ameneiros, RamÃ³n Seage","Drexler, Jan Felix",1
"Ameneiros, RamÃ³n Seage","MÃ¼ller, Marcel Alexander",1
"Ameneiros, RamÃ³n Seage","Drosten, Christian",1
"Pfeifer, Alexander","Thiel, Volker",1
"Drexler, Jan Felix","Pfeifer, Alexander",1
"MÃ¼ller, Marcel Alexander","Pfeifer, Alexander",1
"Drosten, Christian","Pfeifer, Alexander",1
"Drexler, Jan Felix","Thiel, Volker",1
"MÃ¼ller, Marcel Alexander","Thiel, Volker",1
"Drosten, Christian","Thiel, Volker",2
"Drexler, Jan Felix","MÃ¼ller, Marcel Alexander",1
"Drexler, Jan Felix","Drosten, Christian",2
"Drosten, Christian","MÃ¼ller, Marcel Alexander",1
"Hung, Kevin K. C.","Mark, Carman K. M.",1
"Hung, Kevin K. C.","Yeung, May P. S.",1
"Chan, Emily Y. Y.","Hung, Kevin K. C.",1
"Graham, Colin A.","Hung, Kevin K. C.",1
"Mark, Carman K. M.","Yeung, May P. S.",1
"Chan, Emily Y. Y.","Mark, Carman K. M.",1
"Graham, Colin A.","Mark, Carman K. M.",1
"Chan, Emily Y. Y.","Yeung, May P. S.",1
"Graham, Colin A.","Yeung, May P. S.",1
"Chan, Emily Y. Y.","Graham, Colin A.",1
"Fan, Rachel Y. Y.","Lau, Susanna K. P.",2
"Lau, Susanna K. P.","Luk, Hayes K. H.",2
"Lau, Susanna K. P.","Zhu, Longchao",1
"Fung, Joshua","Lau, Susanna K. P.",1
"Lau, Susanna K. P.","Li, Kenneth S. M.",2
"Lau, Susanna K. P.","Wong, Emily Y. M.",1
"Ahmed, Syed Shakeel","Lau, Susanna K. P.",2
"Chan, Jasper F. W.","Lau, Susanna K. P.",3
"Kok, Raven K. H.","Lau, Susanna K. P.",1
"Chan, Kwok-Hung","Lau, Susanna K. P.",1
"Lau, Susanna K. P.","Wernery, Ulrich",1
"Lau, Susanna K. P.","Yuen, Kwok-Yung",3
"Lau, Susanna K. P.","Woo, Patrick C. Y.",3
"Fan, Rachel Y. Y.","Luk, Hayes K. H.",2
"Fan, Rachel Y. Y.","Zhu, Longchao",1
"Fan, Rachel Y. Y.","Fung, Joshua",1
"Fan, Rachel Y. Y.","Li, Kenneth S. M.",2
"Fan, Rachel Y. Y.","Wong, Emily Y. M.",1
"Ahmed, Syed Shakeel","Fan, Rachel Y. Y.",2
"Chan, Jasper F. W.","Fan, Rachel Y. Y.",2
"Fan, Rachel Y. Y.","Kok, Raven K. H.",1
"Chan, Kwok-Hung","Fan, Rachel Y. Y.",1
"Fan, Rachel Y. Y.","Wernery, Ulrich",1
"Fan, Rachel Y. Y.","Yuen, Kwok-Yung",2
"Fan, Rachel Y. Y.","Woo, Patrick C. Y.",2
"Luk, Hayes K. H.","Zhu, Longchao",1
"Fung, Joshua","Luk, Hayes K. H.",1
"Li, Kenneth S. M.","Luk, Hayes K. H.",2
"Luk, Hayes K. H.","Wong, Emily Y. M.",1
"Ahmed, Syed Shakeel","Luk, Hayes K. H.",2
"Chan, Jasper F. W.","Luk, Hayes K. H.",2
"Kok, Raven K. H.","Luk, Hayes K. H.",1
"Chan, Kwok-Hung","Luk, Hayes K. H.",1
"Luk, Hayes K. H.","Wernery, Ulrich",1
"Luk, Hayes K. H.","Yuen, Kwok-Yung",2
"Luk, Hayes K. H.","Woo, Patrick C. Y.",2
"Fung, Joshua","Zhu, Longchao",1
"Li, Kenneth S. M.","Zhu, Longchao",1
"Wong, Emily Y. M.","Zhu, Longchao",1
"Ahmed, Syed Shakeel","Zhu, Longchao",1
"Chan, Jasper F. W.","Zhu, Longchao",1
"Kok, Raven K. H.","Zhu, Longchao",1
"Chan, Kwok-Hung","Zhu, Longchao",1
"Wernery, Ulrich","Zhu, Longchao",1
"Yuen, Kwok-Yung","Zhu, Longchao",1
"Woo, Patrick C. Y.","Zhu, Longchao",1
"Fung, Joshua","Li, Kenneth S. M.",1
"Fung, Joshua","Wong, Emily Y. M.",1
"Ahmed, Syed Shakeel","Fung, Joshua",1
"Chan, Jasper F. W.","Fung, Joshua",1
"Fung, Joshua","Kok, Raven K. H.",1
"Chan, Kwok-Hung","Fung, Joshua",1
"Fung, Joshua","Wernery, Ulrich",1
"Fung, Joshua","Yuen, Kwok-Yung",1
"Fung, Joshua","Woo, Patrick C. Y.",1
"Li, Kenneth S. M.","Wong, Emily Y. M.",1
"Ahmed, Syed Shakeel","Li, Kenneth S. M.",2
"Chan, Jasper F. W.","Li, Kenneth S. M.",2
"Kok, Raven K. H.","Li, Kenneth S. M.",1
"Chan, Kwok-Hung","Li, Kenneth S. M.",1
"Li, Kenneth S. M.","Wernery, Ulrich",1
"Li, Kenneth S. M.","Yuen, Kwok-Yung",2
"Li, Kenneth S. M.","Woo, Patrick C. Y.",2
"Ahmed, Syed Shakeel","Wong, Emily Y. M.",1
"Chan, Jasper F. W.","Wong, Emily Y. M.",1
"Kok, Raven K. H.","Wong, Emily Y. M.",1
"Chan, Kwok-Hung","Wong, Emily Y. M.",1
"Wernery, Ulrich","Wong, Emily Y. M.",1
"Wong, Emily Y. M.","Yuen, Kwok-Yung",1
"Wong, Emily Y. M.","Woo, Patrick C. Y.",1
"Ahmed, Syed Shakeel","Chan, Jasper F. W.",2
"Ahmed, Syed Shakeel","Kok, Raven K. H.",1
"Ahmed, Syed Shakeel","Chan, Kwok-Hung",1
"Ahmed, Syed Shakeel","Wernery, Ulrich",1
"Ahmed, Syed Shakeel","Yuen, Kwok-Yung",2
"Ahmed, Syed Shakeel","Woo, Patrick C. Y.",2
"Chan, Jasper F. W.","Kok, Raven K. H.",1
"Chan, Jasper F. W.","Chan, Kwok-Hung",1
"Chan, Jasper F. W.","Wernery, Ulrich",1
"Chan, Jasper F. W.","Yuen, Kwok-Yung",4
"Chan, Jasper F. W.","Woo, Patrick C. Y.",3
"Chan, Kwok-Hung","Kok, Raven K. H.",1
"Kok, Raven K. H.","Wernery, Ulrich",1
"Kok, Raven K. H.","Yuen, Kwok-Yung",1
"Kok, Raven K. H.","Woo, Patrick C. Y.",1
"Chan, Kwok-Hung","Wernery, Ulrich",1
"Chan, Kwok-Hung","Yuen, Kwok-Yung",2
"Chan, Kwok-Hung","Woo, Patrick C. Y.",1
"Wernery, Ulrich","Yuen, Kwok-Yung",1
"Wernery, Ulrich","Woo, Patrick C. Y.",1
"Woo, Patrick C. Y.","Yuen, Kwok-Yung",3
"Liu, Zhenqiu","Shi, Oumin",1
"Liu, Zhenqiu","Yan, Qiong",1
"Fang, Qiwen","Liu, Zhenqiu",1
"Liu, Zhenqiu","Zuo, Jialu",1
"Chen, Yue","Liu, Zhenqiu",1
"Chen, Xingdong","Liu, Zhenqiu",1
"Liu, Zhenqiu","Zhang, Tiejun",1
"Shi, Oumin","Yan, Qiong",1
"Fang, Qiwen","Shi, Oumin",1
"Shi, Oumin","Zuo, Jialu",1
"Chen, Yue","Shi, Oumin",1
"Chen, Xingdong","Shi, Oumin",1
"Shi, Oumin","Zhang, Tiejun",1
"Fang, Qiwen","Yan, Qiong",1
"Yan, Qiong","Zuo, Jialu",1
"Chen, Yue","Yan, Qiong",1
"Chen, Xingdong","Yan, Qiong",1
"Yan, Qiong","Zhang, Tiejun",1
"Fang, Qiwen","Zuo, Jialu",1
"Chen, Yue","Fang, Qiwen",1
"Chen, Xingdong","Fang, Qiwen",1
"Fang, Qiwen","Zhang, Tiejun",1
"Chen, Yue","Zuo, Jialu",1
"Chen, Xingdong","Zuo, Jialu",1
"Zhang, Tiejun","Zuo, Jialu",1
"Chen, Xingdong","Chen, Yue",1
"Chen, Yue","Zhang, Tiejun",1
"Chen, Xingdong","Zhang, Tiejun",1
"SchÃ¤fer, Alexandra","van Doremalen, Neeltje",1
"Menachery, Vineet D.","van Doremalen, Neeltje",1
"Letko, Michael","van Doremalen, Neeltje",1
"Bushmaker, Trenton","van Doremalen, Neeltje",1
"Fischer, Robert J.","van Doremalen, Neeltje",1
"Figueroa, Dania M.","van Doremalen, Neeltje",1
"Hanley, Patrick W.","van Doremalen, Neeltje",1
"Saturday, Greg","van Doremalen, Neeltje",1
"Baric, Ralph S.","van Doremalen, Neeltje",1
"Munster, Vincent J.","van Doremalen, Neeltje",2
"Letko, Michael","SchÃ¤fer, Alexandra",1
"Bushmaker, Trenton","SchÃ¤fer, Alexandra",1
"Fischer, Robert J.","SchÃ¤fer, Alexandra",1
"Figueroa, Dania M.","SchÃ¤fer, Alexandra",1
"Hanley, Patrick W.","SchÃ¤fer, Alexandra",1
"Saturday, Greg","SchÃ¤fer, Alexandra",1
"Munster, Vincent J.","SchÃ¤fer, Alexandra",1
"Letko, Michael","Menachery, Vineet D.",1
"Bushmaker, Trenton","Menachery, Vineet D.",1
"Fischer, Robert J.","Menachery, Vineet D.",1
"Figueroa, Dania M.","Menachery, Vineet D.",1
"Hanley, Patrick W.","Menachery, Vineet D.",1
"Menachery, Vineet D.","Saturday, Greg",1
"Menachery, Vineet D.","Munster, Vincent J.",1
"Bushmaker, Trenton","Letko, Michael",1
"Fischer, Robert J.","Letko, Michael",1
"Figueroa, Dania M.","Letko, Michael",1
"Hanley, Patrick W.","Letko, Michael",1
"Letko, Michael","Saturday, Greg",1
"Baric, Ralph S.","Letko, Michael",1
"Letko, Michael","Munster, Vincent J.",1
"Bushmaker, Trenton","Fischer, Robert J.",1
"Bushmaker, Trenton","Figueroa, Dania M.",1
"Bushmaker, Trenton","Hanley, Patrick W.",1
"Bushmaker, Trenton","Saturday, Greg",1
"Baric, Ralph S.","Bushmaker, Trenton",1
"Bushmaker, Trenton","Munster, Vincent J.",1
"Figueroa, Dania M.","Fischer, Robert J.",1
"Fischer, Robert J.","Hanley, Patrick W.",1
"Fischer, Robert J.","Saturday, Greg",1
