source,target,weight
"Iwata-Yoshikawa, Naoko","Sbrana, Elena",2
"Newman, Patrick C.","Sbrana, Elena",2
"Garron, Tania","Sbrana, Elena",2
"Atmar, Robert L.","Sbrana, Elena",2
"Peters, Clarence J.","Sbrana, Elena",2
"Couch, Robert B.","Sbrana, Elena",2
"Iwata-Yoshikawa, Naoko","Newman, Patrick C.",2
"Garron, Tania","Iwata-Yoshikawa, Naoko",2
"Atmar, Robert L.","Iwata-Yoshikawa, Naoko",2
"Iwata-Yoshikawa, Naoko","Peters, Clarence J.",2
"Couch, Robert B.","Iwata-Yoshikawa, Naoko",2
"Garron, Tania","Newman, Patrick C.",2
"Atmar, Robert L.","Newman, Patrick C.",2
"Newman, Patrick C.","Peters, Clarence J.",2
"Couch, Robert B.","Newman, Patrick C.",2
"Atmar, Robert L.","Garron, Tania",2
"Garron, Tania","Peters, Clarence J.",2
"Couch, Robert B.","Garron, Tania",2
"Atmar, Robert L.","Peters, Clarence J.",2
"Atmar, Robert L.","Couch, Robert B.",2
"Couch, Robert B.","Peters, Clarence J.",2
"Bertram, Stephanie","Heurich, Adeline",1
"Bertram, Stephanie","Lavender, Hayley",1
"Bertram, Stephanie","Gierer, Stefanie",1
"Bertram, Stephanie","Danisch, Simon",1
"Bertram, Stephanie","Perin, Paula",1
"Bertram, Stephanie","Lucas, Jared M.",1
"Bertram, Stephanie","Nelson, Peter S.",1
"Bertram, Stephanie","P̦hlmann, Stefan",1
"Bertram, Stephanie","Soilleux, Elizabeth J.",1
"Heurich, Adeline","Lavender, Hayley",1
"Gierer, Stefanie","Heurich, Adeline",2
"Danisch, Simon","Heurich, Adeline",1
"Heurich, Adeline","Perin, Paula",1
"Heurich, Adeline","Lucas, Jared M.",1
"Heurich, Adeline","Nelson, Peter S.",1
"Heurich, Adeline","P̦hlmann, Stefan",2
"Heurich, Adeline","Soilleux, Elizabeth J.",1
"Gierer, Stefanie","Lavender, Hayley",1
"Danisch, Simon","Lavender, Hayley",1
"Lavender, Hayley","Perin, Paula",1
"Lavender, Hayley","Lucas, Jared M.",1
"Lavender, Hayley","Nelson, Peter S.",1
"Lavender, Hayley","P̦hlmann, Stefan",1
"Lavender, Hayley","Soilleux, Elizabeth J.",1
"Danisch, Simon","Gierer, Stefanie",1
"Gierer, Stefanie","Perin, Paula",1
"Gierer, Stefanie","Lucas, Jared M.",1
"Gierer, Stefanie","Nelson, Peter S.",1
"Gierer, Stefanie","P̦hlmann, Stefan",3
"Gierer, Stefanie","Soilleux, Elizabeth J.",1
"Danisch, Simon","Perin, Paula",1
"Danisch, Simon","Lucas, Jared M.",1
"Danisch, Simon","Nelson, Peter S.",1
"Danisch, Simon","P̦hlmann, Stefan",1
"Danisch, Simon","Soilleux, Elizabeth J.",1
"Lucas, Jared M.","Perin, Paula",1
"Nelson, Peter S.","Perin, Paula",1
"Perin, Paula","P̦hlmann, Stefan",1
"Perin, Paula","Soilleux, Elizabeth J.",1
"Lucas, Jared M.","Nelson, Peter S.",1
"Lucas, Jared M.","P̦hlmann, Stefan",1
"Lucas, Jared M.","Soilleux, Elizabeth J.",1
"Nelson, Peter S.","P̦hlmann, Stefan",1
"Nelson, Peter S.","Soilleux, Elizabeth J.",1
"P̦hlmann, Stefan","Soilleux, Elizabeth J.",1
"Adedeji, Adeyemi O.","Marchand, Bruno",1
"Adedeji, Adeyemi O.","te Velthuis, Aartjan J. W.",1
"Adedeji, Adeyemi O.","Snijder, Eric J.",1
"Adedeji, Adeyemi O.","Weiss, Susan",1
"Adedeji, Adeyemi O.","Eoff, Robert L.",1
"Adedeji, Adeyemi O.","Singh, Kamalendra",2
"Adedeji, Adeyemi O.","Sarafianos, Stefan G.",2
"Marchand, Bruno","te Velthuis, Aartjan J. W.",1
"Marchand, Bruno","Snijder, Eric J.",1
"Marchand, Bruno","Weiss, Susan",1
"Eoff, Robert L.","Marchand, Bruno",1
"Marchand, Bruno","Singh, Kamalendra",1
"Marchand, Bruno","Sarafianos, Stefan G.",1
"Snijder, Eric J.","te Velthuis, Aartjan J. W.",1
"Weiss, Susan","te Velthuis, Aartjan J. W.",1
"Eoff, Robert L.","te Velthuis, Aartjan J. W.",1
"Singh, Kamalendra","te Velthuis, Aartjan J. W.",1
"Sarafianos, Stefan G.","te Velthuis, Aartjan J. W.",1
"Snijder, Eric J.","Weiss, Susan",1
"Eoff, Robert L.","Snijder, Eric J.",1
"Singh, Kamalendra","Snijder, Eric J.",1
"Sarafianos, Stefan G.","Snijder, Eric J.",1
"Eoff, Robert L.","Weiss, Susan",1
"Singh, Kamalendra","Weiss, Susan",1
"Sarafianos, Stefan G.","Weiss, Susan",1
"Eoff, Robert L.","Singh, Kamalendra",1
"Eoff, Robert L.","Sarafianos, Stefan G.",1
"Sarafianos, Stefan G.","Singh, Kamalendra",2
"Cameron, Mark J.","Kelvin, Alyson A.",1
"Cameron, Mark J.","Leon, Alberto J.",1
"Cameron, Cheryl M.","Cameron, Mark J.",1
"Cameron, Mark J.","Ran, Longsi",1
"Cameron, Mark J.","Xu, Luoling",1
"Cameron, Mark J.","Chu, Yong-Kyu",1
"Cameron, Mark J.","Danesh, Ali",1
"Cameron, Mark J.","Fang, Yuan",1
"Cameron, Mark J.","Li, Qianjun",1
"Anderson, Austin","Cameron, Mark J.",1
"Cameron, Mark J.","Couch, Ronald C.",1
"Cameron, Mark J.","Paquette, Stephane G.",1
"Cameron, Mark J.","Fomukong, Ndingsa G.",1
"Cameron, Mark J.","Kistner, Otfried",1
"Cameron, Mark J.","Lauchart, Manfred",1
"Cameron, Mark J.","Rowe, Thomas",1
"Cameron, Mark J.","Harrod, Kevin S.",1
"Cameron, Mark J.","Jonsson, Colleen B.",1
"Cameron, Mark J.","Kelvin, David J.",1
"Kelvin, Alyson A.","Leon, Alberto J.",1
"Cameron, Cheryl M.","Kelvin, Alyson A.",1
"Kelvin, Alyson A.","Ran, Longsi",1
"Kelvin, Alyson A.","Xu, Luoling",1
"Chu, Yong-Kyu","Kelvin, Alyson A.",1
"Danesh, Ali","Kelvin, Alyson A.",1
"Fang, Yuan","Kelvin, Alyson A.",1
"Kelvin, Alyson A.","Li, Qianjun",1
"Anderson, Austin","Kelvin, Alyson A.",1
"Couch, Ronald C.","Kelvin, Alyson A.",1
"Kelvin, Alyson A.","Paquette, Stephane G.",1
"Fomukong, Ndingsa G.","Kelvin, Alyson A.",1
"Kelvin, Alyson A.","Kistner, Otfried",1
"Kelvin, Alyson A.","Lauchart, Manfred",1
"Kelvin, Alyson A.","Rowe, Thomas",1
"Harrod, Kevin S.","Kelvin, Alyson A.",1
"Jonsson, Colleen B.","Kelvin, Alyson A.",1
"Kelvin, Alyson A.","Kelvin, David J.",1
"Cameron, Cheryl M.","Leon, Alberto J.",1
"Leon, Alberto J.","Ran, Longsi",1
"Leon, Alberto J.","Xu, Luoling",1
"Chu, Yong-Kyu","Leon, Alberto J.",1
"Danesh, Ali","Leon, Alberto J.",1
"Fang, Yuan","Leon, Alberto J.",1
"Leon, Alberto J.","Li, Qianjun",1
"Anderson, Austin","Leon, Alberto J.",1
"Couch, Ronald C.","Leon, Alberto J.",1
"Leon, Alberto J.","Paquette, Stephane G.",1
"Fomukong, Ndingsa G.","Leon, Alberto J.",1
"Kistner, Otfried","Leon, Alberto J.",1
"Lauchart, Manfred","Leon, Alberto J.",1
"Leon, Alberto J.","Rowe, Thomas",1
"Harrod, Kevin S.","Leon, Alberto J.",1
"Jonsson, Colleen B.","Leon, Alberto J.",1
"Kelvin, David J.","Leon, Alberto J.",1
"Cameron, Cheryl M.","Ran, Longsi",1
"Cameron, Cheryl M.","Xu, Luoling",1
"Cameron, Cheryl M.","Chu, Yong-Kyu",1
"Cameron, Cheryl M.","Danesh, Ali",1
"Cameron, Cheryl M.","Fang, Yuan",1
"Cameron, Cheryl M.","Li, Qianjun",1
"Anderson, Austin","Cameron, Cheryl M.",1
"Cameron, Cheryl M.","Couch, Ronald C.",1
"Cameron, Cheryl M.","Paquette, Stephane G.",1
"Cameron, Cheryl M.","Fomukong, Ndingsa G.",1
"Cameron, Cheryl M.","Kistner, Otfried",1
"Cameron, Cheryl M.","Lauchart, Manfred",1
"Cameron, Cheryl M.","Rowe, Thomas",1
"Cameron, Cheryl M.","Harrod, Kevin S.",1
"Cameron, Cheryl M.","Jonsson, Colleen B.",1
"Cameron, Cheryl M.","Kelvin, David J.",1
"Ran, Longsi","Xu, Luoling",1
"Chu, Yong-Kyu","Ran, Longsi",1
"Danesh, Ali","Ran, Longsi",1
"Fang, Yuan","Ran, Longsi",1
"Li, Qianjun","Ran, Longsi",1
"Anderson, Austin","Ran, Longsi",1
"Couch, Ronald C.","Ran, Longsi",1
"Paquette, Stephane G.","Ran, Longsi",1
"Fomukong, Ndingsa G.","Ran, Longsi",1
"Kistner, Otfried","Ran, Longsi",1
"Lauchart, Manfred","Ran, Longsi",1
"Ran, Longsi","Rowe, Thomas",1
"Harrod, Kevin S.","Ran, Longsi",1
"Jonsson, Colleen B.","Ran, Longsi",1
"Kelvin, David J.","Ran, Longsi",1
"Chu, Yong-Kyu","Xu, Luoling",1
"Danesh, Ali","Xu, Luoling",1
"Fang, Yuan","Xu, Luoling",1
"Li, Qianjun","Xu, Luoling",1
"Anderson, Austin","Xu, Luoling",1
"Couch, Ronald C.","Xu, Luoling",1
"Paquette, Stephane G.","Xu, Luoling",1
"Fomukong, Ndingsa G.","Xu, Luoling",1
"Kistner, Otfried","Xu, Luoling",1
"Lauchart, Manfred","Xu, Luoling",1
"Rowe, Thomas","Xu, Luoling",1
"Harrod, Kevin S.","Xu, Luoling",1
"Jonsson, Colleen B.","Xu, Luoling",1
"Kelvin, David J.","Xu, Luoling",1
"Chu, Yong-Kyu","Danesh, Ali",1
"Chu, Yong-Kyu","Fang, Yuan",1
"Chu, Yong-Kyu","Li, Qianjun",1
"Anderson, Austin","Chu, Yong-Kyu",1
"Chu, Yong-Kyu","Couch, Ronald C.",1
"Chu, Yong-Kyu","Paquette, Stephane G.",1
"Chu, Yong-Kyu","Fomukong, Ndingsa G.",1
"Chu, Yong-Kyu","Kistner, Otfried",1
"Chu, Yong-Kyu","Lauchart, Manfred",1
"Chu, Yong-Kyu","Rowe, Thomas",1
"Chu, Yong-Kyu","Harrod, Kevin S.",1
"Chu, Yong-Kyu","Jonsson, Colleen B.",1
